Gambar,EAR,MAR,Nose X,Nose Y
1,2.1333672002367914,10.228899770832495,465,674
2,2.1671190675074543,2.4258549271209113,464,684
2,2.4712110203718702,4.005372758692853,481,853
3,1.980111915734574,19.064964154434335,478,708
4,2.446096020706814,8.225188953287873,456,704
5,2.0332002213109144,5.367737650422015,484,689
6,2.1915799915908405,1.871053769632069,467,688
6,2.8594133043920222,2.6677495635527984,487,892
7,2.1546318840657865,8.53298405955689,450,715
8,2.347876613336689,8.132797330804902,474,710
9,1.994569920721013,20.851233627574697,471,714
10,2.195567261040326,6.179437778829695,475,700
11,2.2360184988682326,14.54204536336527,538,685
12,2.045915529170975,7.798654886653502,444,726
13,2.8177112294113256,13.305687984177679,502,708
14,2.578650647421947,8.088903814080178,498,710
15,2.10269533731233,12.513246336622398,450,715
16,2.649079756679215,7.960706426697358,478,715
17,2.7028391959914937,1.560322166884502,476,685
18,2.135143005160861,1.8645847806405542,476,681
19,2.9638480957905986,13.409957375454779,501,708
20,2.248429568903063,9.835031120406786,470,705
21,2.4552302953004914,9.686453992550923,477,718
22,2.166655759974444,24.402697499632488,457,696
23,1.9546649412974377,1.8597460805593475,467,701
24,2.2077993492968355,9.8843370771258,456,703
25,2.3392134874642716,21.94461662904657,484,709
26,2.0567205183174027,9.790773436763791,509,699
27,2.4187672687508055,7.635954464967233,518,699
28,2.241635089624767,10.159826192881967,467,694
29,2.624117157380655,8.95492498082693,467,695
30,2.7115946743290413,9.754671890567398,462,694
